Kanal;   Energie(keV); Impulse
     573;   573.0000;          329   
     574;   574.0000;          353   
     575;   575.0000;          364   
     576;   576.0000;          344   
     577;   577.0000;          372   
     578;   578.0000;          336   
     579;   579.0000;          387   
     580;   580.0000;          349   
     581;   581.0000;          386   
     582;   582.0000;          421   
     583;   583.0000;          410   
     584;   584.0000;          392   
     585;   585.0000;          433   
     586;   586.0000;          435   
     587;   587.0000;          446   
     588;   588.0000;          478   
     589;   589.0000;          484   
     590;   590.0000;          495   
     591;   591.0000;          535   
     592;   592.0000;          518   
     593;   593.0000;          556   
     594;   594.0000;          602   
     595;   595.0000;          613   
     596;   596.0000;          661   
     597;   597.0000;          642   
     598;   598.0000;          656   
     599;   599.0000;          664   
     600;   600.0000;          667   
     601;   601.0000;          703   
     602;   602.0000;          725   
     603;   603.0000;          738   
     604;   604.0000;          815   
     605;   605.0000;          839   
     606;   606.0000;          840   
     607;   607.0000;          866   
     608;   608.0000;          920   
     609;   609.0000;          899   
     610;   610.0000;         1002   
     611;   611.0000;         1029   
     612;   612.0000;         1050   
     613;   613.0000;         1064   
     614;   614.0000;         1063   
     615;   615.0000;         1133   
     616;   616.0000;         1136   
     617;   617.0000;         1180   
     618;   618.0000;         1238   
     619;   619.0000;         1253   
     620;   620.0000;         1314   
     621;   621.0000;         1339   
     622;   622.0000;         1372   
     623;   623.0000;         1377   
     624;   624.0000;         1432   
     625;   625.0000;         1516   
     626;   626.0000;         1584   
     627;   627.0000;         1640   
     628;   628.0000;         1690   
     629;   629.0000;         1701   
     630;   630.0000;         1717   
     631;   631.0000;         1728   
     632;   632.0000;         1760   
     633;   633.0000;         1831   
     634;   634.0000;         1891   
     635;   635.0000;         1979   
     636;   636.0000;         2015   
     637;   637.0000;         2027   
     638;   638.0000;         2048   
     639;   639.0000;         2162   
     640;   640.0000;         2203   
     641;   641.0000;         2282   
     642;   642.0000;         2354   
     643;   643.0000;         2325   
     644;   644.0000;         2387   
     645;   645.0000;         2384   
     646;   646.0000;         2482   
     647;   647.0000;         2579   
     648;   648.0000;         2527   
     649;   649.0000;         2535   
     650;   650.0000;         2578   
     651;   651.0000;         2654   
     652;   652.0000;         2729   
     653;   653.0000;         2777   
     654;   654.0000;         2730   
     655;   655.0000;         2745   
     656;   656.0000;         2836   
     657;   657.0000;         2875   
     658;   658.0000;         2903   
     659;   659.0000;         2935   
     660;   660.0000;         3062   
     661;   661.0000;         3110   
     662;   662.0000;         3031   
     663;   663.0000;         3158   
     664;   664.0000;         3084   
     665;   665.0000;         3099   
     666;   666.0000;         3127   
     667;   667.0000;         3214   
     668;   668.0000;         3197   
     669;   669.0000;         3323   
     670;   670.0000;         3197   
     671;   671.0000;         3109   
     672;   672.0000;         3309   
     673;   673.0000;         3201   
     674;   674.0000;         3259   
     675;   675.0000;         3221   
     676;   676.0000;         3375   
     677;   677.0000;         3226   
     678;   678.0000;         3329   
     679;   679.0000;         3365   
     680;   680.0000;         3333   
     681;   681.0000;         3136   
     682;   682.0000;         3290   
     683;   683.0000;         3311   
     684;   684.0000;         3152   
     685;   685.0000;         3142   
     686;   686.0000;         3089   
     687;   687.0000;         3174   
     688;   688.0000;         3188   
     689;   689.0000;         3018   
     690;   690.0000;         3098   
     691;   691.0000;         3095   
     692;   692.0000;         2990   
     693;   693.0000;         3026   
     694;   694.0000;         2961   
     695;   695.0000;         2916   
     696;   696.0000;         2789   
     697;   697.0000;         2885   
     698;   698.0000;         2740   
     699;   699.0000;         2817   
     700;   700.0000;         2790   
     701;   701.0000;         2698   
     702;   702.0000;         2741   
     703;   703.0000;         2625   
     704;   704.0000;         2638   
     705;   705.0000;         2596   
     706;   706.0000;         2570   
     707;   707.0000;         2587   
     708;   708.0000;         2607   
     709;   709.0000;         2462   
     710;   710.0000;         2454   
     711;   711.0000;         2362   
     712;   712.0000;         2441   
     713;   713.0000;         2424   
     714;   714.0000;         2353   
     715;   715.0000;         2431   
     716;   716.0000;         2403   
     717;   717.0000;         2297   
     718;   718.0000;         2298   
     719;   719.0000;         2307   
     720;   720.0000;         2312   
     721;   721.0000;         2203   
     722;   722.0000;         2404   
     723;   723.0000;         2330   
     724;   724.0000;         2380   
     725;   725.0000;         2380   
     726;   726.0000;         2275   
     727;   727.0000;         2331   
     728;   728.0000;         2253   
     729;   729.0000;         2374   
     730;   730.0000;         2322   
     731;   731.0000;         2449   
     732;   732.0000;         2396   
     733;   733.0000;         2422   
     734;   734.0000;         2590   
     735;   735.0000;         2595   
     736;   736.0000;         2492   
     737;   737.0000;         2599   
     738;   738.0000;         2610   
     739;   739.0000;         2567   
     740;   740.0000;         2725   
     741;   741.0000;         2769   
     742;   742.0000;         2678   
     743;   743.0000;         2870   
     744;   744.0000;         2896   
     745;   745.0000;         2941   
     746;   746.0000;         2947   
     747;   747.0000;         3114   
     748;   748.0000;         3055   
     749;   749.0000;         3224   
     750;   750.0000;         3089   
     751;   751.0000;         3373   
     752;   752.0000;         3284   
     753;   753.0000;         3399   
     754;   754.0000;         3454   
     755;   755.0000;         3541   
     756;   756.0000;         3513   
     757;   757.0000;         3566   
     758;   758.0000;         3816   
     759;   759.0000;         3696   
     760;   760.0000;         3819   
     761;   761.0000;         3896   
     762;   762.0000;         3939   
     763;   763.0000;         4060   
     764;   764.0000;         4134   
     765;   765.0000;         4176   
     766;   766.0000;         4225   
     767;   767.0000;         4239   
     768;   768.0000;         4217   
     769;   769.0000;         4391   
     770;   770.0000;         4562   
     771;   771.0000;         4587   
     772;   772.0000;         4502   
     773;   773.0000;         4742   
     774;   774.0000;         4594   
     775;   775.0000;         4752   
     776;   776.0000;         4752   
     777;   777.0000;         4802   
     778;   778.0000;         4809   
     779;   779.0000;         4888   
     780;   780.0000;         5000   
     781;   781.0000;         4929   
     782;   782.0000;         5079   
     783;   783.0000;         5094   
     784;   784.0000;         5086   
     785;   785.0000;         5010   
     786;   786.0000;         5172   
     787;   787.0000;         5178   
     788;   788.0000;         5186   
     789;   789.0000;         5394   
     790;   790.0000;         5294   
     791;   791.0000;         5310   
     792;   792.0000;         5341   
     793;   793.0000;         5178   
     794;   794.0000;         5206   
     795;   795.0000;         5224   
     796;   796.0000;         5252   
     797;   797.0000;         5102   
     798;   798.0000;         5210   
     799;   799.0000;         5247   
     800;   800.0000;         5087   
     801;   801.0000;         5243   
     802;   802.0000;         5077   
     803;   803.0000;         5100   
     804;   804.0000;         5042   
     805;   805.0000;         4959   
     806;   806.0000;         5040   
     807;   807.0000;         4887   
     808;   808.0000;         5000   
     809;   809.0000;         5013   
     810;   810.0000;         4933   
     811;   811.0000;         4720   
     812;   812.0000;         4826   
     813;   813.0000;         4700   
     814;   814.0000;         4733   
     815;   815.0000;         4568   
     816;   816.0000;         4594   
     817;   817.0000;         4358   
     818;   818.0000;         4440   
     819;   819.0000;         4395   
     820;   820.0000;         4278   
     821;   821.0000;         4321   
     822;   822.0000;         4078   
     823;   823.0000;         3984   
     824;   824.0000;         3894   
     825;   825.0000;         3931   
     826;   826.0000;         3826   
     827;   827.0000;         3901   
     828;   828.0000;         3782   
     829;   829.0000;         3701   
     830;   830.0000;         3650   
     831;   831.0000;         3501   
     832;   832.0000;         3448   
     833;   833.0000;         3458   
     834;   834.0000;         3245   
     835;   835.0000;         3311   
     836;   836.0000;         3091   
     837;   837.0000;         3177   
     838;   838.0000;         3041   
     839;   839.0000;         3013   
     840;   840.0000;         2910   
     841;   841.0000;         2922   
     842;   842.0000;         2829   
     843;   843.0000;         2804   
     844;   844.0000;         2679   
     845;   845.0000;         2694   
     846;   846.0000;         2665   
     847;   847.0000;         2557   
     848;   848.0000;         2461   
     849;   849.0000;         2528   
     850;   850.0000;         2463   
     851;   851.0000;         2470   
     852;   852.0000;         2385   
     853;   853.0000;         2450   
     854;   854.0000;         2423   
     855;   855.0000;         2368   
     856;   856.0000;         2329   
     857;   857.0000;         2331   
     858;   858.0000;         2358   
     859;   859.0000;         2367   
     860;   860.0000;         2330   
     861;   861.0000;         2348   
     862;   862.0000;         2362   
     863;   863.0000;         2361   
     864;   864.0000;         2389   
     865;   865.0000;         2331   
     866;   866.0000;         2452   
     867;   867.0000;         2521   
     868;   868.0000;         2464   
     869;   869.0000;         2444   
     870;   870.0000;         2521   
     871;   871.0000;         2578   
     872;   872.0000;         2664   
     873;   873.0000;         2711   
     874;   874.0000;         2558   
     875;   875.0000;         2736   
     876;   876.0000;         2783   
     877;   877.0000;         2729   
     878;   878.0000;         2740   
     879;   879.0000;         2879   
     880;   880.0000;         2935   
     881;   881.0000;         2905   
     882;   882.0000;         2926   
     883;   883.0000;         3006   
     884;   884.0000;         3123   
     885;   885.0000;         2985   
     886;   886.0000;         3168   
     887;   887.0000;         3127   
     888;   888.0000;         3239   
     889;   889.0000;         3193   
     890;   890.0000;         3237   
     891;   891.0000;         3349   
     892;   892.0000;         3222   
     893;   893.0000;         3352   
     894;   894.0000;         3432   
     895;   895.0000;         3536   
     896;   896.0000;         3395   
     897;   897.0000;         3455   
     898;   898.0000;         3420   
     899;   899.0000;         3687   
     900;   900.0000;         3531   
     901;   901.0000;         3600   
     902;   902.0000;         3482   
     903;   903.0000;         3537   
     904;   904.0000;         3594   
     905;   905.0000;         3555   
     906;   906.0000;         3530   
     907;   907.0000;         3550   
     908;   908.0000;         3505   
     909;   909.0000;         3527   
     910;   910.0000;         3531   
     911;   911.0000;         3510   
     912;   912.0000;         3460   
     913;   913.0000;         3387   
     914;   914.0000;         3421   
     915;   915.0000;         3404   
     916;   916.0000;         3295   
     917;   917.0000;         3263   
     918;   918.0000;         3154   
     919;   919.0000;         3222   
     920;   920.0000;         3179   
     921;   921.0000;         3091   
     922;   922.0000;         3053   
     923;   923.0000;         2949   
     924;   924.0000;         2892   
     925;   925.0000;         2837   
     926;   926.0000;         2693   
     927;   927.0000;         2711   
     928;   928.0000;         2527   
     929;   929.0000;         2498   
     930;   930.0000;         2555   
     931;   931.0000;         2453   
     932;   932.0000;         2335   
     933;   933.0000;         2288   
     934;   934.0000;         2296   
     935;   935.0000;         2206   
     936;   936.0000;         2114   
     937;   937.0000;         2040   
     938;   938.0000;         1912   
     939;   939.0000;         1826   
     940;   940.0000;         1837   
     941;   941.0000;         1783   
     942;   942.0000;         1607   
     943;   943.0000;         1607   
     944;   944.0000;         1544   
     945;   945.0000;         1420   
     946;   946.0000;         1346   
     947;   947.0000;         1349   
     948;   948.0000;         1302   
     949;   949.0000;         1221   
     950;   950.0000;         1156   
     951;   951.0000;         1129   
     952;   952.0000;         1034   
     953;   953.0000;          973   
     954;   954.0000;          962   
     955;   955.0000;          936   
     956;   956.0000;          834   
     957;   957.0000;          803   
     958;   958.0000;          754   
     959;   959.0000;          717   
     960;   960.0000;          707   
     961;   961.0000;          685   
     962;   962.0000;          641   
     963;   963.0000;          575   
     964;   964.0000;          610   
     965;   965.0000;          517   
     966;   966.0000;          474   
     967;   967.0000;          431   
     968;   968.0000;          415   
     969;   969.0000;          433   
     970;   970.0000;          358   
     971;   971.0000;          337   
     972;   972.0000;          315   
     973;   973.0000;          315   
     974;   974.0000;          296   
     975;   975.0000;          284   
     976;   976.0000;          235   
     977;   977.0000;          228   
     978;   978.0000;          245   
     979;   979.0000;          245   
     980;   980.0000;          207   
     981;   981.0000;          171   
     982;   982.0000;          165   
     983;   983.0000;          146   
     984;   984.0000;          189   
     985;   985.0000;          148   
     986;   986.0000;          111   
     987;   987.0000;          116   
     988;   988.0000;          116   
     989;   989.0000;          129   
     990;   990.0000;          106   
     991;   991.0000;          117   
     992;   992.0000;          113   
     993;   993.0000;          104   
     994;   994.0000;          107   
     995;   995.0000;           93   
     996;   996.0000;           93   
     997;   997.0000;           81   
     998;   998.0000;           75   
     999;   999.0000;           69   
    1000;  1000.0000;           65   
    1001;  1001.0000;           66   
    1002;  1002.0000;           62   
    1003;  1003.0000;           65   
    1004;  1004.0000;           58   
    1005;  1005.0000;           52   
    1006;  1006.0000;           61   
    1007;  1007.0000;           55   
    1008;  1008.0000;           58   
    1009;  1009.0000;           47   
    1010;  1010.0000;           61   
    1011;  1011.0000;           51   
    1012;  1012.0000;           44   
    1013;  1013.0000;           48   
    1014;  1014.0000;           58   
    1015;  1015.0000;           53   
    1016;  1016.0000;           48   
    1017;  1017.0000;           54   
    1018;  1018.0000;           46   
    1019;  1019.0000;           45   
    1020;  1020.0000;           44   
    1021;  1021.0000;           44   
    1022;  1022.0000;           45   
    1023;  1023.0000;           58   
    1024;  1024.0000;           48   
    1025;  1025.0000;           45   
    1026;  1026.0000;           49   
    1027;  1027.0000;           59   
    1028;  1028.0000;           47   
    1029;  1029.0000;           34   
    1030;  1030.0000;           49   
    1031;  1031.0000;           40   
    1032;  1032.0000;           47   
    1033;  1033.0000;           38   
